player_name,player_id_agg,min_tourn_date,max_tourn_date,total_matches,player_id,flag,Aggregate
Anne Lloyd,223891,04/11/1968 00:00,12/04/1974 00:00,10,223891,FALSE,
Anne Louise Shoedin,232961,06/07/1987 00:00,06/07/1987 00:00,1,232961,FALSE,
Anne Lucas,215359,29/06/2015 00:00,29/06/2015 00:00,1,215359,FALSE,
Anne Mall,201277,25/02/1991 00:00,01/02/2008 00:00,202,201277,FALSE,
Anne Marie Brodeur Fontaine,208347,26/05/2003 00:00,26/05/2003 00:00,1,208347,FALSE,
Anne Marie Casado,203771,07/07/1975 00:00,29/05/1978 00:00,2,203771,FALSE,
Anne Marie Cassaigne,203691,24/03/1969 00:00,05/11/1975 00:00,13,203691,FALSE,
Anne Marie Hogan,207160,07/08/2000 00:00,25/07/2005 00:00,8,207160,FALSE,
Anne Marie Jung,230257,13/07/1981 00:00,13/07/1981 00:00,1,230257,FALSE,
Anne Marie Larue,200853,09/02/1968 00:00,05/11/1975 00:00,35,200853,FALSE,
Anne Marie Medcalf,216240,19/09/2016 00:00,09/10/2017 00:00,4,216240,FALSE,
Anne Marie Mikkers,207013,23/03/1992 00:00,30/09/1997 00:00,153,207013,FALSE,
Anne Marie Radstake,232507,21/07/1986 00:00,20/07/1987 00:00,3,232507,FALSE,
Anne Marie Ruegg,201934,07/07/1975 00:00,12/09/1983 00:00,33,201934,FALSE,
Anne Marie Studer,200797,11/03/1968 00:00,21/03/1971 00:00,37,200797,FALSE,
Anne Marie Walson,213135,18/07/1988 00:00,28/03/1990 00:00,33,213135,FALSE,
Anne Marie Watson,232896,05/01/1987 00:00,03/08/1987 00:00,2,232896,FALSE,
Anne Mcalpine,223915,01/04/1968 00:00,01/04/1969 00:00,5,223915,FALSE,
Anne Mcmillan,223926,14/04/1969 00:00,14/04/1969 00:00,1,223926,FALSE,
Anne Meara,233064,16/11/1987 00:00,16/11/1987 00:00,2,233064,FALSE,
Anne Meredith,201183,20/04/1987 00:00,25/02/1991 00:00,115,201183,FALSE,
Anne Meritel,207104,29/01/1998 00:00,05/07/1999 00:00,6,207104,FALSE,
Anne Mette Sorensen,201936,16/06/1971 00:00,19/07/1982 00:00,65,201936,FALSE,
Anne Miller,200717,26/08/1991 00:00,21/08/2000 00:00,182,200717,FALSE,
Anne Minter,200346,24/12/1979 00:00,29/03/1993 00:00,572,200346,FALSE,
Anne Moeller,232515,28/07/1986 00:00,29/06/1987 00:00,2,232515,FALSE,
Anne Moller,212483,17/07/1983 00:00,06/10/1985 00:00,3,212483,FALSE,
Anne Moncany,231655,11/06/1984 00:00,19/09/1988 00:00,3,231655,FALSE,
Anne Nguyen,202263,30/07/2001 00:00,30/07/2001 00:00,1,202263,FALSE,
Anne Novicki,236396,05/06/1995 00:00,05/06/1995 00:00,2,236396,FALSE,
Anne Ollevier,213401,27/03/1995 00:00,14/08/1995 00:00,8,213401,FALSE,
Anne Papenfus,223912,01/04/1968 00:00,01/04/1969 00:00,2,223912,FALSE,
Anne Pastor,235096,29/10/1990 00:00,26/06/1995 00:00,15,235096,FALSE,
Anne Phan,235596,21/10/1991 00:00,04/11/1991 00:00,3,235596,FALSE,
Anne Plessinger,207465,17/07/2000 00:00,02/10/2000 00:00,15,207465,FALSE,
Anne Pooley,229301,14/01/1980 00:00,14/01/1980 00:00,1,229301,FALSE,
Anne Priska Schaefer,204239,20/06/2005 00:00,26/04/2010 00:00,48,204239,FALSE,
Anne Puissant,206502,08/08/1994 00:00,12/08/1996 00:00,42,206502,FALSE,
Anne Richards,235602,28/10/1991 00:00,02/11/1992 00:00,3,235602,FALSE,
Anne Rim Romp,259624,10/01/2022 00:00,10/01/2022 00:00,1,259624,FALSE,
Anne Rockwell,225158,18/09/1972 00:00,18/09/1972 00:00,1,225158,FALSE,
Anne Schaefer,202858,04/07/2005 00:00,24/10/2022 00:00,672,202858,FALSE,
Anne Seidler,223476,31/07/1977 00:00,27/09/1982 00:00,15,223476,FALSE,
Anne Shilcock,227240,01/04/1969 00:00,01/04/1969 00:00,3,227240,FALSE,
Anne Smith,200378,20/03/1977 00:00,27/02/2006 00:00,417,200378,FALSE,
Anne Sophie Bittighoffer,202189,25/10/1993 00:00,22/05/1995 00:00,53,202189,FALSE,
Anne Sophie Bruner,216794,04/02/1991 00:00,03/02/1992 00:00,2,216794,FALSE,
